Algorithm J n K EbN0db error
Narayanan+NNLS 14 2047 50 2.3000000000000003 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.1 0.30000000000000004
Narayanan+NNLS 14 2047 50 1.1 0.16000000000000003
Narayanan+NNLS 14 2047 50 0.5 0.28
Narayanan+NNLS 14 2047 50 2.1 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.9 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.1 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.3000000000000003 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.5000000000000002 0.14
Narayanan+NNLS 14 2047 50 0.9 0.16000000000000003
Narayanan+NNLS 14 2047 50 0.1 0.30000000000000004
Narayanan+NNLS 14 2047 50 1.9000000000000001 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.7000000000000001 0.20000000000000004
Narayanan+NNLS 14 2047 50 1.7000000000000002 0.14
Narayanan+NNLS 14 2047 50 0.30000000000000004 0.30000000000000004
Narayanan+NNLS 14 2047 50 2.1 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.9 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.1 0.16000000000000003
Narayanan+NNLS 14 2047 50 0.7000000000000001 0.20000000000000004
Narayanan+NNLS 14 2047 50 0.5 0.28
Narayanan+NNLS 14 2047 50 1.9000000000000001 0.11999999999999998
Narayanan+NNLS 14 2047 50 1.5000000000000002 0.14
Narayanan+NNLS 14 2047 50 1.3000000000000003 0.16000000000000003
Narayanan+NNLS 14 2047 50 2.1 0.10000000000000002
Narayanan+NNLS 14 2047 50 1.3000000000000003 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.7000000000000002 0.14
Narayanan+NNLS 14 2047 50 0.5 0.28
Narayanan+NNLS 14 2047 50 0.30000000000000004 0.30000000000000004
Narayanan+NNLS 14 2047 50 0.30000000000000004 0.30000000000000004
Narayanan+NNLS 14 2047 50 1.9000000000000001 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.1 0.30000000000000004
Narayanan+NNLS 14 2047 50 0.7000000000000001 0.20000000000000004
Narayanan+NNLS 14 2047 50 2.3000000000000003 0.10000000000000002
Narayanan+NNLS 14 2047 50 2.3000000000000003 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.9 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.1 0.16000000000000003
Narayanan+NNLS 14 2047 50 1.5000000000000002 0.14
Narayanan+NNLS 14 2047 50 1.7000000000000002 0.14
Narayanan+NNLS 14 2047 50 0.7000000000000001 0.20000000000000004
Narayanan+NNLS 14 2047 50 0.1 0.30000000000000004
Narayanan+NNLS 14 2047 50 1.3000000000000003 0.16000000000000003
Narayanan+NNLS 14 2047 50 0.30000000000000004 0.30000000000000004
Narayanan+NNLS 14 2047 50 1.7000000000000002 0.14
Narayanan+NNLS 14 2047 50 1.6 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.9000000000000001 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.5 0.28
Narayanan+NNLS 14 2047 50 1.2000000000000002 0.08
Narayanan+NNLS 14 2047 50 2.3000000000000003 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.5 0.28
Narayanan+NNLS 14 2047 50 0.6 0.11999999999999998
Narayanan+NNLS 14 2047 50 2.1 0.10000000000000002
Narayanan+NNLS 14 2047 50 1.6 0.05999999999999999
Narayanan+NNLS 14 2047 50 2.2 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.2000000000000002 0.08
Narayanan+NNLS 14 2047 50 0.7000000000000001 0.20000000000000004
Narayanan+NNLS 14 2047 50 1.4000000000000001 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.4000000000000001 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.0 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.4 0.11999999999999998
Narayanan+NNLS 14 2047 50 2.2 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.2 0.14
Narayanan+NNLS 14 2047 50 1.2000000000000002 0.08
Narayanan+NNLS 14 2047 50 2.4000000000000004 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.2 0.14
Narayanan+NNLS 14 2047 50 1.6 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.6 0.11999999999999998
Narayanan+NNLS 14 2047 50 1.0 0.10000000000000002
Narayanan+NNLS 14 2047 50 0.4 0.11999999999999998
Narayanan+NNLS 14 2047 50 1.0 0.10000000000000002
Narayanan+NNLS 14 2047 50 2.0 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.4000000000000001 0.05999999999999999
Narayanan+NNLS 14 2047 50 2.2 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.2 0.14
Narayanan+NNLS 14 2047 50 1.0 0.10000000000000002
Narayanan+NNLS 14 2047 50 1.8000000000000003 0.05999999999999999
Narayanan+NNLS 14 2047 50 2.0 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.8 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.8 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.6 0.11999999999999998
Narayanan+NNLS 14 2047 50 0.4 0.11999999999999998
Narayanan+NNLS 14 2047 50 1.6 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.8000000000000003 0.05999999999999999
Narayanan+NNLS 14 2047 50 1.3000000000000003 0.16000000000000003
Narayanan+NNLS 14 2047 50 2.2 0.05999999999999999
Narayanan+NNLS 14 2047 50 2.0 0.05999999999999999
Narayanan+NNLS 14 2047 50 0.8 0.11999999999999998
Narayanan+NNLS 14 2047 50 2.4000000000000004 0.05999999999999999
Narayanan+NNLS 14 2047 50 2.4000000000000004 0.05999999999999999
